timestamp,temperature,humidity,rain_mm,water_needed
2024-01-01 00:00:00,6.5302453,15.94601,0.0,0
2024-01-01 01:00:00,6.2402453,15.683774,0.0,0
2024-01-01 02:00:00,6.210245,16.704155,0.0,0
2024-01-01 03:00:00,6.170245,16.363178,0.1,0
2024-01-01 04:00:00,6.1602454,16.323528,0.0,0
2024-01-01 05:00:00,6.130245,15.629971,0.0,0
2024-01-01 06:00:00,6.020245,15.9134655,0.0,0
2024-01-01 07:00:00,6.040245,15.192682,0.0,0
2024-01-01 08:00:00,6.290245,14.693999,0.0,0
2024-01-01 09:00:00,6.8402452,15.696165,0.0,0
2024-01-01 10:00:00,7.4302454,14.291592,0.0,0
2024-01-01 11:00:00,8.080246,16.323528,0.0,0
2024-01-01 12:00:00,8.210245,16.279802,0.0,0
2024-01-01 13:00:00,8.190246,14.57889,0.0,0
2024-01-01 14:00:00,8.290245,13.089354,0.0,0
2024-01-01 15:00:00,8.080246,9.504272,0.0,0
2024-01-01 16:00:00,7.0102453,7.928177,0.0,0
2024-01-01 17:00:00,5.7202454,7.342588,0.0,0
2024-01-01 18:00:00,5.2602453,7.92,0.0,0
2024-01-01 19:00:00,5.420245,7.928178,0.0,0
2024-01-01 20:00:00,5.110245,8.64,0.0,0
2024-01-01 21:00:00,5.3102455,8.647496,0.0,0
2024-01-01 22:00:00,5.6002455,10.086427,0.0,0
2024-01-01 23:00:00,5.8302455,10.538843,0.0,0
2024-01-02 00:00:00,6.1602454,12.371645,0.0,0
2024-01-02 01:00:00,6.6402454,15.192682,0.0,0
2024-01-02 02:00:00,7.3502455,17.309973,0.1,0
2024-01-02 03:00:00,7.5702453,19.721298,0.4,0
2024-01-02 04:00:00,7.7202454,22.057161,0.6,0
2024-01-02 05:00:00,7.960245,23.675304,0.8,0
2024-01-02 06:00:00,8.350245,24.162947,0.8,0
2024-01-02 07:00:00,8.590245,24.514387,0.5,0
2024-01-02 08:00:00,8.820246,24.863466,0.5,0
2024-01-02 09:00:00,9.110246,24.569836,0.5,0
2024-01-02 10:00:00,9.270246,22.392464,0.6,0
2024-01-02 11:00:00,9.8102455,23.710857,0.5,0
2024-01-02 12:00:00,9.890245,25.071098,0.4,0
2024-01-02 13:00:00,9.820246,24.850431,0.5,0
2024-01-02 14:00:00,9.690246,25.133053,0.7,0
2024-01-02 15:00:00,9.670245,25.199997,0.8,0
2024-01-02 16:00:00,9.740245,25.376808,1.2,0
2024-01-02 17:00:00,9.930245,24.967499,1.1,0
2024-01-02 18:00:00,10.280245,25.759504,0.7,0
2024-01-02 19:00:00,10.590245,27.871534,0.6,0
2024-01-02 20:00:00,10.770246,29.301876,0.3,0
2024-01-02 21:00:00,10.940246,29.784426,0.3,0
2024-01-02 22:00:00,11.170245,27.026386,0.2,0
2024-01-02 23:00:00,11.150246,27.80403,0.0,0
2024-01-03 00:00:00,10.960245,25.772078,0.0,0
2024-01-03 01:00:00,10.930245,23.507751,0.0,0
2024-01-03 02:00:00,10.930245,21.897945,0.0,0
2024-01-03 03:00:00,10.760245,21.897945,0.0,0
2024-01-03 04:00:00,10.670245,23.113008,0.1,0
2024-01-03 05:00:00,10.670245,23.4,0.1,0
2024-01-03 06:00:00,10.630245,23.557316,0.1,0
2024-01-03 07:00:00,10.520246,24.216522,0.3,0
2024-01-03 08:00:00,10.790245,24.703974,0.0,0
2024-01-03 09:00:00,11.270246,24.951921,0.0,0
2024-01-03 10:00:00,11.630245,24.122686,0.0,0
2024-01-03 11:00:00,11.880245,23.979893,0.0,0
2024-01-03 12:00:00,12.270246,23.557316,0.0,0
2024-01-03 13:00:00,12.360246,24.522314,0.1,0
2024-01-03 14:00:00,12.230246,25.537172,0.4,0
2024-01-03 15:00:00,11.680245,23.950148,0.7,0
2024-01-03 16:00:00,11.340245,23.419376,1.3,0
